Kanji,Onyomi,Kunyomi,English,JLPT Level,Category,kanji_to_english,english_to_kanji,kanji_to_pronunciation,pronunciation_to_kanji,english_to_pronunciation,pronunciation_to_english
見せる,,みせる,to show,N5,Vocabulary,,,,,not studied,not studied
道,,みち,street,N5,Vocabulary,,,,,not studied,not studied
三日,,みっか,"three days, third day of the month",N5,Vocabulary,,,,,not studied,not studied
三つ,,みっつ,three,N5,Vocabulary,,,,,not studied,not studied
緑,,みどり,green,N5,Vocabulary,,,,,not studied,not studied
皆さん,,みなさん,everyone,N5,Vocabulary,,,,,not studied,not studied
南,,みなみ,south,N5,Vocabulary,,,,,not studied,not studied
耳,,みみ,ear,N5,Vocabulary,,,,,not studied,not studied
見る 観る,,みる,"to see, to watch",N5,Vocabulary,,,,,not studied,not studied
,,みんな,everyone,N5,Vocabulary,,,,,not studied,not studied
六日,,むいか,"six days, sixth day of the month",N5,Vocabulary,,,,,not studied,not studied
向こう,,むこう,over there,N5,Vocabulary,,,,,not studied,not studied
難しい,,むずかしい,difficult,N5,Vocabulary,,,,,not studied,not studied
六つ,,むっつ,six,N5,Vocabulary,,,,,not studied,not studied
村,,むら,village,N5,Vocabulary,,,,,not studied,not studied
目,,め,eye,N5,Vocabulary,,,,,not studied,not studied
,,メートル,metre,N5,Vocabulary,,,,,not studied,not studied
眼鏡,,めがね,glasses,N5,Vocabulary,,,,,not studied,not studied
,,もう,already,N5,Vocabulary,,,,,not studied,not studied
もう一度,,もういちど,again,N5,Vocabulary,,,,,not studied,not studied
木曜日,,もくようび,Thursday,N5,Vocabulary,,,,,not studied,not studied
持つ,,もつ,to hold,N5,Vocabulary,,,,,not studied,not studied
,,もっと,more,N5,Vocabulary,,,,,not studied,not studied
物,,もの,thing,N5,Vocabulary,,,,,not studied,not studied
門,,もん,gate,N5,Vocabulary,,,,,not studied,not studied
問題,,もんだい,problem,N5,Vocabulary,,,,,not studied,not studied
八百屋,,やおや,greengrocer,N5,Vocabulary,,,,,not studied,not studied
野菜,,やさい,vegetable,N5,Vocabulary,,,,,not studied,not studied
易しい,,やさしい,"easy, simple",N5,Vocabulary,,,,,not studied,not studied
安い,,やすい,cheap,N5,Vocabulary,,,,,not studied,not studied
休み,,やすみ,"rest,holiday",N5,Vocabulary,,,,,not studied,not studied
休む,,やすむ,to rest,N5,Vocabulary,,,,,not studied,not studied
八つ,,やっつ,eight,N5,Vocabulary,,,,,not studied,not studied
山,,やま,mountain,N5,Vocabulary,,,,,not studied,not studied
,,やる,to do,N5,Vocabulary,,,,,not studied,not studied
夕方,,ゆうがた,evening,N5,Vocabulary,,,,,not studied,not studied
夕飯,,ゆうはん,dinner,N5,Vocabulary,,,,,not studied,not studied
郵便局,,ゆうびんきょく,post office,N5,Vocabulary,,,,,not studied,not studied
昨夜,,ゆうべ,last night,N5,Vocabulary,,,,,not studied,not studied
有名,,ゆうめい,famous,N5,Vocabulary,,,,,not studied,not studied
雪,,ゆき,snow,N5,Vocabulary,,,,,not studied,not studied
行く,,ゆく,to go,N5,Vocabulary,,,,,not studied,not studied
,,ゆっくりと,slowly,N5,Vocabulary,,,,,not studied,not studied
八日,,ようか,"eight days, eighth day of the month",N5,Vocabulary,,,,,not studied,not studied
洋服,,ようふく,western-style clothes,N5,Vocabulary,,,,,not studied,not studied
,,よく,"often, well",N5,Vocabulary,,,,,not studied,not studied
横,,よこ,"beside,side,width",N5,Vocabulary,,,,,not studied,not studied
四日,,よっか,"four days, fouth day of the month",N5,Vocabulary,,,,,not studied,not studied
四つ,,よっつ,four,N5,Vocabulary,,,,,not studied,not studied
呼ぶ,,よぶ,"to call out,to invite",N5,Vocabulary,,,,,not studied,not studied
読む,,よむ,to read,N5,Vocabulary,,,,,not studied,not studied
夜,,よる,"evening,night",N5,Vocabulary,,,,,not studied,not studied
弱い,,よわい,weak,N5,Vocabulary,,,,,not studied,not studied
来月,,らいげつ,next month,N5,Vocabulary,,,,,not studied,not studied
来週,,らいしゅう,next week,N5,Vocabulary,,,,,not studied,not studied
来年,,らいねん,next year,N5,Vocabulary,,,,,not studied,not studied
,,ラジオ,radio,N5,Vocabulary,,,,,not studied,not studied
,,ラジカセ / ラジオカセット,radio cassette player,N5,Vocabulary,,,,,not studied,not studied
,,りっぱ,splendid,N5,Vocabulary,,,,,not studied,not studied
留学生,,りゅうがくせい,overseas student,N5,Vocabulary,,,,,not studied,not studied
両親,,りょうしん,both parents,N5,Vocabulary,,,,,not studied,not studied
料理,,りょうり,cuisine,N5,Vocabulary,,,,,not studied,not studied
旅行,,りょこう,travel,N5,Vocabulary,,,,,not studied,not studied
零,,れい,zero,N5,Vocabulary,,,,,not studied,not studied
冷蔵庫,,れいぞうこ,refrigerator,N5,Vocabulary,,,,,not studied,not studied
,,レコード,record,N5,Vocabulary,,,,,not studied,not studied
,,レストラン,restaurant,N5,Vocabulary,,,,,not studied,not studied
練習,,れんしゅうする,to practice,N5,Vocabulary,,,,,not studied,not studied
廊下,,ろうか,corridor,N5,Vocabulary,,,,,not studied,not studied
六,,ろく,six,N5,Vocabulary,,,,,not studied,not studied
,,ワイシャツ,business shirt,N5,Vocabulary,,,,,not studied,not studied
若い,,わかい,young,N5,Vocabulary,,,,,not studied,not studied
分かる,,わかる,to be understood,N5,Vocabulary,,,,,not studied,not studied
忘れる,,わすれる,to forget,N5,Vocabulary,,,,,not studied,not studied
私,,わたくし,"(humble) I,myself",N5,Vocabulary,,,,,not studied,not studied
私,,わたし,"I,myself",N5,Vocabulary,,,,,not studied,not studied
渡す,,わたす,to hand over,N5,Vocabulary,,,,,not studied,not studied
渡る,,わたる,to go across,N5,Vocabulary,,,,,not studied,not studied
悪い,,わるい,bad,N5,Vocabulary,,,,,not studied,not studied
,,より、ほう,Used for comparison.,N5,Vocabulary,,,,,not studied,not studied
会, カイ エ アツ.マ, あ.う あ.わせる," meeting, meet, party, association, interview, join",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
同, ドウ, おな.じ," same, agree, equal",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
事, ジ ズ ツカ.エ, こと つか.う," matter, thing, fact, business, reason, possibly",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
自, ジ シ オノ.ズ, みずか.ら おの.ずから, oneself,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
社, シャ ヤシ,," company, firm, office, association, shrine",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
発, ハツ ホツ ハナ., た.つ あば.く おこ.る つか.わす," discharge, departure, publish, emit, start from, disclose",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
者, シャ, もの," someone, person",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
地, チ,," ground, earth",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
業, ギョウ ゴウ ワ,," business, vocation, arts, performance",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
方, ホウ -ガ, かた -かた," direction, person, alternative",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
新, シン, あたら.しい あら.た あら- にい, new,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
場, ジョウ チョウ, ば," location, place",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
員, イ,," employee, member, number, the one in charge",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
立, リツ リュウ リットル -ダ.テ, た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て, stand up,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
開, カイ ア.ケ, ひら.く ひら.き -びら.き ひら.ける あ.く," open, unfold, unseal",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
手, シュ ズ, て て- -て た-, hand,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
力, リョク リキ リイ チカ,," power, strong, strain, bear up, exert",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
問, モン ト, と.う と.い," question, ask, problem",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
代, ダイ タイ シ, か.わる かわ.る かわ.り -がわ.り か.える よ," substitute, change, convert, replace, period, age, generation, charge, rate, fee",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
明, メイ ミョウ ミン ア.カ, あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる," bright, light",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
動, ドウ ウゴ.カ, うご.く," move, motion, change, confusion, shift, shake",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
京, キョウ ケイ キン ミヤ,," capital, 10**16",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
目, モク ボク, め -め ま," eye, class, look, insight, experience, care, favor",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
通, ツウ ツ カヨ., とお.る とお.り -とお.り -どお.り とお.す とお.し -どお.し," traffic, pass through, avenue, commute, counter for letters",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
言, ゲン ゴン コ, い.う, say,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
理, リ コトワ,," logic, arrangement, reason, justice, truth",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
体, タイ テイ カタ, からだ," body, substance, object, reality, counter for images",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
田, デン,," rice field, rice paddy",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
主, シュ ス シュウ アル, ぬし おも," lord, chief, master, main thing, principal",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
題, ダイ,," topic, subject",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
意,,," idea, mind, heart, taste, thought, desire, care, liking",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
不, フ ブ,," negative, non-, bad, ugly, clumsy",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
作, サク サ -ヅク., つく.る つく.り," make, production, prepare, build",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
用, ヨウ モチ.イ,," utilize, business, service, use, employ",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
度, ド ト タク -タ., たび," degrees, occurrence, time, counter for occurrences",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
強, キョウ ゴウ コワ., つよ.い つよ.まる つよ.める し.いる, strong,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
公, コウ ク オオヤ,," public, prince, official, governmental",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
持, ジ モ.テ, も.つ -も.ち," hold, have",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
野, ヤ ショ, の の," plains, field, rustic, civilian life",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
以, イ モッ.,," by means of, because, in view of, compared with",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
思, シ, おも.う おもえら.く おぼ.す, think,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
家, カ ケ ウ, いえ や," house, home",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
世, セイ セ ソウ サンジュ, よ," generation, world, society, public",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
多, タ, おお.い まさ.に まさ.る," many, frequent, much",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
正, セイ ショウ マサ., ただ.しい ただ.す まさ," correct, justice, righteous, 10**40",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
安, アン ヤス.ラ, やす.い やす.まる やす," relax, cheap, low, quiet, rested, contented, peaceful",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
院, イン,," Inst., institution, temple, mansion, school",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
心,, りっしんべん," heart, mind, spirit",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
界, カイ,, world,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
教, キョウ オソ.ワ, おし.える," teach, faith, doctrine",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
文, ブン モン ア, ふみ," sentence, literature, style, art, decoration, figures, plan",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
元, ゲン ガン モ,," beginning, former time, origin",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
重, ジュウ チョウ オ, え おも.い おも.り おも.なう かさ.ねる かさ.なる," heavy, heap up, pile up, nest of boxes, -fold",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
近, キン コン チカ.,," near, early, akin, tantamount",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
考, コウ カンガ., かんが.える," consider, think over",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
画, ガ カク エ カイ, えが.く かく.する かぎ.る はかりごと はか.る," brush-stroke, picture",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
海, カイ ウ,," sea, ocean",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
売, バイ ウ.レ, う.る, sell,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
知, チ シ.ラセ, し.る," know, wisdom",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
道, ドウ トウ ミ,," road-way, street, district, journey, course, moral, teachings",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
集, シュウ ツド., あつ.まる あつ.める," gather, meet, congregate, swarm, flock",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
別, ベツ ワ.ケ, わか.れる," separate, branch off, diverge, fork, another, extra, specially",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
物, ブツ モツ, もの もの-," thing, object, matter",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
使, シ, つか.う つか.い -つか.い -づか.い, use,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
品, ヒン ホン, しな," goods, refinement, dignity, article, counter for meal courses",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
計, ケイ ハカ.ラ, はか.る," plot, plan, scheme, measure",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
死, シ, し.ぬ し.に-," death, die",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
特, トク,, special,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
私, シ, わたくし わたし," private, I, me",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
始, シ ハジ.マ, はじ.める -はじ.める," commence, begin",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
朝, チョウ ア,," morning, dynasty, regime, epoch, period, (North) Korea",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
運, ウン, はこ.ぶ," carry, luck, destiny, fate, lot, transport, progress, advance",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
終, シュウ ツイ., お.わる -お.わる おわ.る お.える つい," end, finish",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
台, ダイ タイ, うてな われ つかさ," pedestal, a stand, counter for machines and vehicles",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
広, コウ, ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる," wide, broad, spacious",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
住, ジュウ ヂュウ チュウ -ズ.マ, す.む す.まう," dwell, reside, live, inhabit",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
真, シン マコ, ま ま-," true, reality, Buddhist sect",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
有, ユウ ウ ア.,," possess, have, exist, happen, occur, approx",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
口, コウ ク, くち, mouth,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
少, ショウ, すく.ない すこ.し," few, little",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
町, チョウ, まち," village, town, block, street",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
料, リョウ,," fee, materials",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
工, コウ ク,," craft, construction",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
建, ケン コン タ., た.てる た.て -だ.て, build,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
空, クウ ムナ.シ, そら あ.く あ.き あ.ける から す.く す.かす," empty, sky, void, vacant, vacuum",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
急, キュウ, いそ.ぐ いそ.ぎ," hurry, emergency, sudden, steep",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
止, シ -サ., と.まる -ど.まり と.める -と.める -ど.め とど.める とど.め とど.まる や.める や.む -や.む よ.," stop, halt",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
送, ソウ, おく.る," escort, send",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
切, セツ サイ -ギ., き.る -き.る き.り -き.り -ぎ.り き.れる -き.れる き.れ -き.れ," cut, cutoff, be sharp",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
転, テン, ころ.がる ころ.げる ころ.がす ころ.ぶ まろ.ぶ うたた うつ.る," revolve, turn around, change",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
研, ケン ト.,," polish, study of, sharpen",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
足, ソク タ., あし た.りる た.る," leg, foot, be sufficient, counter for pairs of footwear",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
究, キュウ ク キワ.メ,," research, study",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
楽, ガク ラク ゴウ コノ., たの.しい たの.しむ," music, comfort, ease",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
起, キ, お.きる お.こる お.こす おこ.す た.つ," rouse, wake up, get up",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
着, チャク ジャク, き.る -ぎ き.せる -き.せ つ.く つ.ける," don, arrive, wear, counter for suits of clothing",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
店, テン, みせ たな," store, shop",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
病, ビョウ ヘイ, や.む -や.み やまい," ill, sick",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
質, シツ シチ チ, たち ただ.す もと わりふ," substance, quality, matter, temperament",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
待, タイ -マ., ま.つ," wait, depend on",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
試, シ, こころ.みる ため.す," test, try, attempt, experiment, ordeal",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
族, ゾ,," tribe, family",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
銀, ギン シロガ,, silver,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
早, ソウ サッ, はや.い はや はや- はや.まる はや.める さ," early, fast",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
映, エイ -バ., うつ.る うつ.す は.える," reflect, reflection, projection",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
親, シン シタ.シ, おや おや- した.しい," parent, intimacy, relative, familiarity, dealer (cards)",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
験, ケン ゲン, あかし しるし ため.す ためし," verification, effect, testing",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
英, エイ ハナブ,," England, English",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
医, イ, い.やす い.する くすし," doctor, medicine",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
仕, シ ジ, つか.える," attend, doing, official, serve",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
去, キョ コ -サ., さ.る," gone, past, quit, leave, elapse, eliminate, divorce",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
味, ミ, あじ あじ.わう," flavor, taste",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
写, シャ ジャ, うつ.す うつ.る うつ- うつ.し," copy, be photographed, describe",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
字, ジ, あざ あざな -な," character, letter, word, section of village",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
答, トウ コタ., こた.える," solution, answer",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
夜, ヤ, よ よる," night, evening",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
音, オン イン -ノン, おと," sound, noise",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
注, チュウ, そそ.ぐ さ.す つ.ぐ," pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
帰, キ, かえ.る かえ.す おく.る とつ.ぐ," homecoming, arrive at, lead to, result in",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
古, コ -フル., ふる.い ふる-, old,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
歌, カ, うた うた.う," song, sing",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
買, バイ, か.う, buy,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
悪, アク オ, わる.い わる- あ.し にく.い -にく.い ああ いずくに いずくんぞ にく.む," bad, vice, rascal, false, evil, wrong",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
図, ズ ト ハカ., え," map, drawing, plan, unexpected, accidentally",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
週, シュウ,, week,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
室, シツ, むろ," room, apartment, chamber, greenhouse, cellar",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
歩, ホ ブ フ アユ., ある.く," walk, counter for steps",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
風, フウ フ -カ, かぜ かざ-," wind, air, style, manner",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
紙, シ, かみ, paper,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
黒, コク, くろ くろ.ずむ くろ.い, black,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
花, カ ケ ハ,, flower,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
春, シュン ハ,," springtime, spring (season)",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
赤, セキ シャク アカ.ラメ, あか あか- あか.い あか.らむ, red,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
青, セイ ショウ アオ., あお あお-," blue, green",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
館, カン タ, やかた," building, mansion, large building, palace",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
屋, オク,," roof, house, shop, dealer, seller",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
色, ショク シキ イ,, color,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
走, ソウ ハシ.,, run,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
秋, シュウ ト, あき, autumn,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
夏, カ ガ ゲ, なつ, summer,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
習, シュウ ジュ, なら.う なら.い, learn,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
駅, エキ,, station,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
洋, ヨ,," ocean, western style",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
旅, リョ, たび," trip, travel",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
服, フ,," clothing, admit, obey, discharge",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
夕, セキ ユ,, evening,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
借, シャク, か.りる," borrow, rent",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
曜, ヨ,, weekday,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
飲, イン オン, の.む -の.み," drink, smoke, take",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
肉, ニク,, meat,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
貸, タイ, か.す か.し- かし-, lend,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
堂, ドウ,," public chamber, hall",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
鳥, チョウ ト,," bird, chicken",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
飯, ハン メ,," meal, boiled rice",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
勉, ベン ツト.メ,, exertion,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
冬, トウ, ふゆ, winter,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
昼, チュウ, ひる," daytime, noon",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
茶, チャ,, tea,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
弟, テイ ダイ デ オトウ,," younger brother, faithful service to elders",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
牛, ギュウ ウ,, cow,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
魚, ギョ -ザカ, うお さかな, fish,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
兄, ケイ キョウ ア,," elder brother, big brother",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
犬, ケン, いぬ いぬ-, dog,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
妹, マイ イモウ,, younger sister,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
姉, シ, あね はは, elder sister,N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
漢, カ,," Sino-, China",N4,Kanji,not studied,not studied,not studied,not studied,not studied,not studied
,,あ,Ah,N4,Vocabulary,,,,,not studied,not studied
,,ああ,like that,N4,Vocabulary,,,,,not studied,not studied
,,あいさつ・する,to greet,N4,Vocabulary,,,,,not studied,not studied
間,,あいだ,a space,N4,Vocabulary,,,,,not studied,not studied
合う,,あう,to match,N4,Vocabulary,,,,,not studied,not studied
,,あかちゃん,infant,N4,Vocabulary,,,,,not studied,not studied
上る,,あがる,to rise,N4,Vocabulary,,,,,not studied,not studied
赤ん坊,,あかんぼう,baby,N4,Vocabulary,,,,,not studied,not studied
空く,,あく,"to open, to become empty",N4,Vocabulary,,,,,not studied,not studied
,,アクセサリー,accessory,N4,Vocabulary,,,,,not studied,not studied
,,あげる,to give,N4,Vocabulary,,,,,not studied,not studied
浅い,,あさい,"shallow,superficial",N4,Vocabulary,,,,,not studied,not studied
味,,あじ,flavour,N4,Vocabulary,,,,,not studied,not studied
,,アジア,Asia,N4,Vocabulary,,,,,not studied,not studied
明日,,あす,tomorrow,N4,Vocabulary,,,,,not studied,not studied
遊び,,あそび,play,N4,Vocabulary,,,,,not studied,not studied
集る,,あつまる,to gather,N4,Vocabulary,,,,,not studied,not studied
集める,,あつめる,to collect something,N4,Vocabulary,,,,,not studied,not studied
,,アナウンサー,announcer,N4,Vocabulary,,,,,not studied,not studied
,,アフリカ,Africa,N4,Vocabulary,,,,,not studied,not studied
,,アメリカ,America,N4,Vocabulary,,,,,not studied,not studied
謝る,,あやまる,to apologize,N4,Vocabulary,,,,,not studied,not studied
,,アルコール,alcohol,N4,Vocabulary,,,,,not studied,not studied
,,アルバイト,part-time job,N4,Vocabulary,,,,,not studied,not studied
安心,,あんしん,relief,N4,Vocabulary,,,,,not studied,not studied
安全,,あんぜん,safety,N4,Vocabulary,,,,,not studied,not studied
,,あんな,such,N4,Vocabulary,,,,,not studied,not studied
案内,,あんない・する,to guide,N4,Vocabulary,,,,,not studied,not studied
以下,,いか,less than,N4,Vocabulary,,,,,not studied,not studied
以外,,いがい,with the exception of,N4,Vocabulary,,,,,not studied,not studied
医学,,いがく,medical science,N4,Vocabulary,,,,,not studied,not studied
